starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:51 2024	1705675911	30	78	108	73
Fri Jan 19 15:52:01 2024	1705675921	37	71	108	69
Fri Jan 19 15:51:57 2024	1705675917	32	76	108	72
Fri Jan 19 15:51:51 2024	1705675911	28	80	108	79
Fri Jan 19 15:51:54 2024	1705675914	30	78	108	77
Fri Jan 19 15:52:00 2024	1705675920	34	74	108	73
Fri Jan 19 15:51:55 2024	1705675915	41	68	108	67
Fri Jan 19 15:51:59 2024	1705675919	32	76	108	72
Fri Jan 19 15:51:54 2024	1705675914	31	77	108	75
Fri Jan 19 15:51:51 2024	1705675911	34	74	108	74
Fri Jan 19 15:51:59 2024	1705675919	31	77	108	76
Fri Jan 19 15:51:54 2024	1705675914	26	82	109	68
Fri Jan 19 15:52:00 2024	1705675920	26	82	109	81
Fri Jan 19 15:51:55 2024	1705675915	29	80	109	80
Fri Jan 19 15:52:01 2024	1705675921	25	84	109	75
Fri Jan 19 15:52:00 2024	1705675920	27	82	109	81
Fri Jan 19 15:51:56 2024	1705675916	33	76	109	74
Fri Jan 19 15:52:00 2024	1705675920	27	82	109	81
Fri Jan 19 15:51:58 2024	1705675918	35	74	109	74
Fri Jan 19 15:52:00 2024	1705675920	32	78	109	74
Fri Jan 19 15:51:51 2024	1705675911	32	77	109	77
Fri Jan 19 15:51:59 2024	1705675919	33	76	109	75
Fri Jan 19 15:51:56 2024	1705675916	28	82	109	81
Fri Jan 19 15:51:54 2024	1705675914	23	87	109	82
Fri Jan 19 15:52:01 2024	1705675921	33	77	109	77
Fri Jan 19 15:52:01 2024	1705675921	35	74	109	73
Fri Jan 19 15:51:58 2024	1705675918	31	78	109	75
Fri Jan 19 15:51:59 2024	1705675919	36	74	109	73
Fri Jan 19 15:51:56 2024	1705675916	33	77	110	76
Fri Jan 19 15:51:56 2024	1705675916	31	79	110	78
Fri Jan 19 15:51:57 2024	1705675917	38	72	110	71
Fri Jan 19 15:52:01 2024	1705675921	34	76	110	74
Fri Jan 19 15:51:53 2024	1705675913	27	83	110	81
Fri Jan 19 15:51:56 2024	1705675916	27	83	110	80
Fri Jan 19 15:51:57 2024	1705675917	38	72	110	71
Fri Jan 19 15:51:52 2024	1705675912	29	81	110	80
Fri Jan 19 15:52:00 2024	1705675920	26	84	110	84
Fri Jan 19 15:51:51 2024	1705675911	29	81	110	80
Fri Jan 19 15:51:52 2024	1705675912	32	79	111	79
Fri Jan 19 15:51:56 2024	1705675916	33	78	111	76
Fri Jan 19 15:51:53 2024	1705675913	28	82	111	82
Fri Jan 19 15:51:56 2024	1705675916	32	79	111	76
Fri Jan 19 15:51:53 2024	1705675913	23	88	111	86
Fri Jan 19 15:51:59 2024	1705675919	33	78	111	76
Fri Jan 19 15:51:51 2024	1705675911	30	81	111	75
Fri Jan 19 15:51:53 2024	1705675913	31	80	111	76
Fri Jan 19 15:51:51 2024	1705675911	28	83	111	81
Fri Jan 19 15:52:00 2024	1705675920	28	84	111	84
Fri Jan 19 15:51:54 2024	1705675914	29	82	111	81
Fri Jan 19 15:52:01 2024	1705675921	32	79	111	78
Fri Jan 19 15:51:58 2024	1705675918	30	81	112	81
Fri Jan 19 15:51:56 2024	1705675916	32	79	112	78
Fri Jan 19 15:51:56 2024	1705675916	36	75	112	73
Fri Jan 19 15:51:55 2024	1705675915	24	88	112	85
Fri Jan 19 15:51:55 2024	1705675915	32	80	112	79
Fri Jan 19 15:51:52 2024	1705675912	33	79	112	79
Fri Jan 19 15:51:54 2024	1705675914	27	85	112	82
Fri Jan 19 15:51:52 2024	1705675912	31	81	112	78
Fri Jan 19 15:52:00 2024	1705675920	25	87	112	87
Fri Jan 19 15:51:55 2024	1705675915	28	83	112	83
Fri Jan 19 15:51:54 2024	1705675914	29	83	112	82
Fri Jan 19 15:51:53 2024	1705675913	30	82	112	78
Fri Jan 19 15:51:56 2024	1705675916	22	91	112	89
Fri Jan 19 15:51:58 2024	1705675918	31	82	112	78
Fri Jan 19 15:51:59 2024	1705675919	31	81	112	78
Fri Jan 19 15:51:53 2024	1705675913	30	83	113	82
Fri Jan 19 15:51:58 2024	1705675918	31	81	113	79
Fri Jan 19 15:51:58 2024	1705675918	31	82	113	80
Fri Jan 19 15:51:57 2024	1705675917	24	88	113	88
Fri Jan 19 15:51:52 2024	1705675912	37	76	113	74
Fri Jan 19 15:51:58 2024	1705675918	35	78	113	74
Fri Jan 19 15:51:58 2024	1705675918	29	84	113	82
Fri Jan 19 15:51:58 2024	1705675918	35	78	113	77
Fri Jan 19 15:52:00 2024	1705675920	24	88	113	82
Fri Jan 19 15:52:00 2024	1705675920	32	80	113	78
Fri Jan 19 15:51:56 2024	1705675916	33	80	113	79
Fri Jan 19 15:51:53 2024	1705675913	29	85	113	83
Fri Jan 19 15:51:59 2024	1705675919	32	81	113	80
Fri Jan 19 15:51:59 2024	1705675919	32	81	113	78
Fri Jan 19 15:52:00 2024	1705675920	28	85	113	83
Fri Jan 19 15:51:55 2024	1705675915	30	83	113	80
Fri Jan 19 15:52:00 2024	1705675920	30	83	114	82
Fri Jan 19 15:51:54 2024	1705675914	28	85	114	83
Fri Jan 19 15:51:51 2024	1705675911	32	82	114	78
Fri Jan 19 15:51:58 2024	1705675918	33	81	114	80
Fri Jan 19 15:51:58 2024	1705675918	38	76	114	74
Fri Jan 19 15:51:59 2024	1705675919	26	88	114	87
Fri Jan 19 15:51:59 2024	1705675919	33	81	114	78
Fri Jan 19 15:51:55 2024	1705675915	33	81	114	78
Fri Jan 19 15:51:58 2024	1705675918	22	93	114	85
Fri Jan 19 15:52:00 2024	1705675920	30	84	114	84
Fri Jan 19 15:52:01 2024	1705675921	40	75	115	73
Fri Jan 19 15:51:59 2024	1705675919	26	89	115	89
Fri Jan 19 15:52:01 2024	1705675921	44	70	115	68
Fri Jan 19 15:51:56 2024	1705675916	32	82	115	82
Fri Jan 19 15:51:54 2024	1705675914	35	80	115	79
Fri Jan 19 15:51:53 2024	1705675913	29	86	115	86
Fri Jan 19 15:51:52 2024	1705675912	35	80	115	78
Fri Jan 19 15:52:01 2024	1705675921	29	86	115	85
Fri Jan 19 15:51:59 2024	1705675919	29	86	115	85
Fri Jan 19 15:52:00 2024	1705675920	30	85	115	84
Fri Jan 19 15:52:00 2024	1705675920	30	85	115	83
Fri Jan 19 15:51:53 2024	1705675913	36	80	115	78
Fri Jan 19 15:51:52 2024	1705675912	31	85	116	85
Fri Jan 19 15:51:54 2024	1705675914	35	81	116	79
Fri Jan 19 15:51:55 2024	1705675915	24	92	116	89
Fri Jan 19 15:51:56 2024	1705675916	27	89	116	87
Fri Jan 19 15:51:56 2024	1705675916	30	86	116	80
Fri Jan 19 15:52:01 2024	1705675921	36	80	116	80
Fri Jan 19 15:52:00 2024	1705675920	22	94	116	93
Fri Jan 19 15:51:51 2024	1705675911	39	77	116	76
Fri Jan 19 15:51:56 2024	1705675916	27	90	116	89
Fri Jan 19 15:51:59 2024	1705675919	27	89	116	87
Fri Jan 19 15:52:00 2024	1705675920	29	88	116	86
Fri Jan 19 15:51:56 2024	1705675916	36	80	116	75
Fri Jan 19 15:51:57 2024	1705675917	24	93	117	92
Fri Jan 19 15:51:56 2024	1705675916	32	85	117	81
Fri Jan 19 15:51:53 2024	1705675913	24	93	117	92
Fri Jan 19 15:51:55 2024	1705675915	27	90	117	86
